列名	数据位置	数据源	字典
dcw_id	mongo	caseNo	null
member_id	mysql	member_id	null
member_name	mysql	member_id	member
submit_hospital_id	mysql	member_id	M_H
submit_hospital_name	mysql	member_id	M_H.hos
submit_hospital_section_id	mysql	member_id	M_D
submit_hospital_section_name	mysql	member_id	M_D.dept
case_hospital_id	mongo	patient.basic.hospital	null
case_hospital_name	mongo	patient.basic.hospital	hos
case_section_id	mongo	patient.basic.hospitalSection	null
case_section_name	mongo	patient.basic.hospitalSection	dept
admission_date	mongo	patient.basic.admissionDate	null
discharge_date	mongo	patient.basic.dischargeDate	null
first_admission_date	mongo	patient.disease.symptom.firstAdmissionDate	null
reside_address	mongo	patient.basic.resideAddress	area
gender	mongo	patient.basic.gender	gen
doctor_name	mongo	patient.majorDoctor.name	null
admission_month	null	null	null
first_admission_month	null	null	null
survival_days	null	null	null
submit_month	null	null	null
audit_month	null	null	null
age_state	null	null	null	
double_primary	null	null	null
disease_name	null	null	null
disease_phase	null	null	null
