医院编号	科室编号
0836d2b4a8794b0f9a405025a5309567	3
33983b1a1a5f45a3bb25617150311c42	1
e2a8a28c58e540a4bfe55749cc778f71	1
38b9e8fe4f8542a4a4be96496ef6c3b6	1
71cae3fdeba140c5885d805d96bccb2d	3
effddbf335764891a189dbe6bcd9d54c	2
9e5690f2abbf40aba81e7cfafdde17d1	2
90d83a9824ae4342af572a61b7f9e06a	3
07e3a853103a4ac19c745b7baa825af7	2
2e3d5126ef964de9b48632de70416f08	6
3b360cbd9c694c80966a71b1361ce899	1
47ed0f251f264b0cb613666782728b8d	1
4d284d6f2f4442de9d5a4a6f94341fa1	1
6effc2c4462042a38ff138206de21a74	1
746bbffdf78346aab5231b904eda844f	15
b8d14d523ba747b68657306b233021f5	1
c60a1ac1057e4d96bfe49cd8f64d843e	1
cce271ebe03d422ebdcf99f3f21d27ba	1
d3925c3fbc5c4caaafc256718491e411	1
e09f54f17afc48de9375788f7c68fa43	1
